Foul-mouthed reporter,a foul-mouthed weather reporter
Master Yoda,Master Yoda from Star Wars
Shakespearian play,a Shakespearian play
Trumpian style,Donald Trump
Darth Vader,Darth Vader from Star Wars
Bee-stung reporter,a weather reporter being stung by bees
Gandalf,Gandalf from Lord of the Rings
Gollum,Gollum from Lord of the Rings
Morse code,Morse code
Bad French accent,a bad french accent
Dad jokes,a dad who loves Dad jokes
Dr. Seuss rhyme,Dr. Seuss rhyming style
Elvis Presley,an Elvis Presley impersonator
Pirate captain,a pirate captain with nautical terms
Bob Ross,"Bob Ross with a ""happy little clouds"" theme"
Bugs Bunny,Bugs Bunny
Soap opera star,an overly dramatic soap opera star
Cheerleader,an enthusiastic cheerleader spelling out the forecast
Silent mime artist,a mime artist performing the weather silently
Lovestruck poet,a lovestruck poet reciting weather-themed poetry
Conspiracy theorist,a conspiracy theorist connecting weather patterns to secret plots
Stand-up comedian,a stand-up comedian incorporating weather puns and one-liners
Sassy fairy godmother,a sassy fairy godmother with magic wand
Medieval knight,a medieval knight speaking in Old English
Monotone robot,a robot with a monotone voice and technical jargon
Dramatic opera singer,a dramatic opera singer performing the forecast as an aria
Game show host,an over-excited game show host revealing the weather like prizes
1920s mobster,a 1920s mobster with slang and prohibition-era references
Hip-hop artist,a hip-hop artist rapping the weather report
Sherlock Holmes-style detective,a Sherlock Holmes-style detective deducing the weather
Cowboy drawl,a cowboy speaking in Western drawl and frontier lingo
Fortune teller,a fortune teller predicting the weather with a crystal ball
Mad scientist,a mad scientist experimenting with weather in a laboratory
Fitness instructor,an exaggerated fitness instructor motivating with weather exercises
1950s news anchor,a news anchor from the 1950s with vintage radio-style delivery
Caveman grunts,a caveman or cavewoman grunting the forecast
Fast-talking auctioneer,a fast-talking auctioneer rattling off the weather details
Royal court jester,a royal court jester jesting about the day's forecast
Superhero,a superhero saving the day with weather updates
Televangelist,a televangelist preaching the weather as divine messages
Reality TV host,a reality TV show host revealing the weather as shocking twists and turns
Surfer dude,a surfer dude using surf lingo to describe the weather
Hogwarts professor,a Hogwarts professor using spells reveal the forecast
Infomercial host,an enthusiastic infomercial host selling the weather as a must-have product
Beatboxer,a beatboxer
Toddler,a toddler
