Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Apr-2023 10:45
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    6.1    5.4    6.4    6.9   11.6   14.0   16.3   17.4   14.9    9.2    5.4    4.7     ---    8.30   15.93    9.80    9.87
1885    2.5    6.1    4.6    8.0    9.3   14.4   16.6   14.6   12.7    7.6    6.0    3.3    4.36    7.28   15.22    8.75    8.81
1886    2.0    0.9    3.8    7.9   10.9   13.8   16.2   16.1   14.4   11.4    6.4    2.4    2.09    7.53   15.38   10.75    8.90
1887    1.6    3.4    3.6    6.3    9.7   15.0   17.4   16.0   12.0    7.1    4.7    2.8    2.46    6.55   16.14    7.90    8.33
1888    2.6    1.2    3.2    6.0   10.5   13.5   14.0   14.5   13.1    7.7    8.1    4.9    2.23    6.54   14.02    9.61    8.29
1889    2.5    2.6    4.6    7.3   12.8   15.6   15.5   15.0   13.1    9.0    6.7    2.8    3.35    8.23   15.38    9.58    8.99
1890    5.8    3.1    5.8    7.4   11.8   13.8   14.8   15.0   14.7    9.5    5.8   -1.5    3.93    8.32   14.52   10.01    8.85
1891    0.7    3.7    4.1    6.4    9.8   14.8   15.0   14.5   14.2   10.2    5.8    4.6    0.89    6.77   14.76   10.07    8.67
1892    2.1    3.6    2.7    7.7   11.5   13.5   14.6   15.8   12.8    7.3    6.8    2.3    3.42    7.31   14.63    8.95    8.40
1893    1.4    4.9    7.3   10.5   13.1   15.6   16.7   17.6   13.5   10.3    4.9    4.1    2.80   10.28   16.61    9.54   10.00
1894    3.1    4.9    6.7   10.0    9.8   13.9   15.9   15.1   12.1    9.7    7.8    4.9    3.99    8.82   14.98    9.88    9.51
1895    0.4   -2.1    5.2    8.2   12.2   14.9   15.9   15.9   16.0    7.7    8.1    4.2    1.21    8.55   15.55   10.56    8.94
1896    4.3    4.1    7.3    8.9   11.7   16.2   16.9   14.9   13.4    7.6    4.1    3.7    4.16    9.31   15.99    8.35    9.43
